num,page found,term found,freq dist,author,date,secondary title,primary title,summary,text,link
87,True,True,3.0,Daily Mail @MailOnline,18 April 2018 - 12:00,,Abortion pill is being used to treat rare hormonal disease,,"A drug company is making millions by hiking up the price of an abortion pill when they sell it to treat a rare hormonal disorder. Mifepristone can cause spontaneous miscarriages, but scientists recently discovered that the compound also treats Cushing's syndrome. The pool of women who could become unintentionally pregnant and need a drug like the abortion pill is potentially as large as the population of women between 15 and 45. Cushing's syndrome, on the other hand, affects only about 10 to 15 million people annually in the world. Drug companies can shorten the research process and reduce its costs if they can find a novel use for an old product - such as treating a rare disorder for which patients have few cheaper alternatives. Mifepristone is sold for aborting pregnancies for around $80, but if you need it to treat a pituitary condition, you will have to shell out more than $500 for a slightly higher dose of the same pill, relabeled Korlym. In combination with misoprostol, mifepristone was approved by the US Food and Drug Administration in 2000 to terminate early pregnancies, under the name Mifiprex. Mifepristone blocks the reproductive hormone progesterone, which fuels the thickening of the uterine lining, allowing a fertilized egg to attach and grow in the uterus. This causes the pregnancy to spontaneously end. Related: Read: But mifepristone also blocks the effects of cortisol, the stress hormone produced during metabolism and as a response to stress. Cushing's syndrome is also called hypcortisolism because it occurs when the body is exposed to too much of the hormone, which can cause obesity, fragile skin and muscle weakness and fatigue, high blood cholesterol and sugar and excess hair growth. It can often also cause anxiety and depression and, for men, low sex drive. Cushing's is typically caused by tumors along the pituitary gland, which regulates the release of cortisol. In other cases, it develops as a side effect of taking steroid medications. In most cases, surgical removal of the tumors is the best treatment, but some are not eligible for surgery. For these patients, mifepristone is an optimal alternative - if they can afford the drug. The irony of the up-charge for the abortion pill when it is repackaged as Korlym is that the drug came to market via a pathway intended to make potential treatments for rare diseases more quickly and affordably accessible. Instead of going through a whole new research, development and regulatory approval process, the FDA designated mifepristone an orphan drug in 2012. The orphan drug program incentivizes companies to find treatments for conditions that affect less than 200,000 people. These can include new uses for already existing compounds that were not brought to market. The FDA gives these orphan drugs 12 years of market exclusivity, meaning that no competing drugs can be sold. During this period, there is not competition to stop Korlym's manufacturer, Corcept, from jacking its price up and up - which it has gradually done. Since it was approved, Korlym's price has jumped from $223 per pill to a whopping $550 each, before discounts, according to Still, that is probably far less than the company would have charged for it if it had had to recuperate the costs for the drug's development from scratch, but that does not make the stark difference between two nearly identical drugs any less striking. Sales of Korlym have driven Corcept's net worth up to $190.97 million, as of the end of last year. Also read:",https://www.the-star.co.ke/news/2018-04-18-abortion-pill-is-being-used-to-treat-rare-hormonal-disease/
88,True,True,1.0,BBC @BBCWorld,18 April 2018 - 06:00,,Former US First Lady Barbara Bush dies at 92,,"Barbara Bush, the former US First Lady and literacy campaigner, has died at the age of 92. She was the matriarchal figure of a political dynasty that included two presidents - her husband George HW Bush and son George W Bush. Barbara, who was First Lady from 1989 to 1993, had been in failing health for some time and had declined further medical treatment. Tributes to her poured in from across the US political establishment. Her husband, at 93, is the longest-lived US president. Their son, George, was elected in 2000 and served two terms as the nation's 43rd president. He said in a statement: ""My dear mother has passed on at age 92. Laura, Barbara, Jenna, and I are sad, but our souls are settled because we know hers was. Barbara Bush was a fabulous First Lady and a woman unlike any other who brought levity, love, and literacy to millions."" George said his mother had ""kept us on our toes and kept us laughing until the end"", adding: ""I'm a lucky man that Barbara Bush was my mother. Our family will miss her dearly, and we thank you all for your prayers and good wishes."" A statement from the office of her husband described her as a ""relentless proponent of family literacy"". Barbara was also the mother of Jeb Bush, who served as governor of Florida from 1999 to 2007 and unsuccessfully ran for the White House in 2016. As First Lady, she went beyond the traditional role of a political spouse, founding the Barbara Bush Foundation for Family Literacy to help parents and children from disadvantaged communities to read and write. 'FAMILY ROCK' She was a fierce advocate of civil rights and went against many of her husband's Republican party supporters with her more liberal view on abortion rights. In a statement from the White House, President Donald Trump said Barbara would be long remembered for her devotion to country and family, ""both of which she served unfailingly well"". Barack and Michelle Obama described her as ""the rock of a family dedicated to public service"" and as ""an example of the humility and decency that reflects the very best of the American spirit"". Another former US president, Bill Clinton, said Barbara was ""feisty in support of her family and friends, her country and her causes"". He said he and Hillary Clinton would ""never forget the courtesy she and President Bush showed us"". Barbara was known for her snow-white hair and was dubbed ""The Silver Fox"" by her family. She once dismissed speculation that she had influenced her husband during his time in the White House, saying: ""I don't fool around with his office and he doesn't fool around with my household."" George HW Bush, who served as the 41st US president, suffers from a form of Parkinson's disease and uses a wheelchair. The couple celebrated their 73rd wedding anniversary in January. It was recently announced that Barbara had declined further medical treatment after a series of hospital visits, but the statement did not reveal the nature of her ailments. She said she wanted to spend her last days in ""comfort care"" with her family. Barbara was one of only two women whose husband and son became US president, and the only one to have seen them both sworn in. Abigail Adams was married to the second US president, John Adams, and was the mother of the sixth, John Quincy Adams, although she did not live to see their son elected.",https://www.the-star.co.ke/news/2018-04-18-former-us-first-lady-barbara-bush-dies-at-92/
89,True,False,0.0,ANGWENYI GICHANA @Agichana,11 May 2018 - 15:00,,Kuppet's Kisii elections abort after marked ballot papers found,,"The AGM of Kuppet's Kisii branch aborted on Friday afternoon after members claimed that marked ballot papers were used in the by-elections. The Annual General Meeting turned so chaotic that police fired three times in the air in an attempt to restore calm. A spent cartridge recovered by teachers at Kisii Culture Center after Kuppet's Annual General Meeting aborted due to the discovery of marked ballot papers, May 11, 2018. /ANGWENYI GICHANA Branch Executive secretary Omari Otungu termed the disruption of the gathering as regrettable and unfortunate. ""The confusion witnessed after the discovery of the ballots angered members, and after consultations with the presiding officer and candidates, we agreed to call off the exercise,"" Otungu said at Kisii Culture Center where the gathering took place. ""Serious questions were asked with regard to the process. We shall set another date for a special annual meeting."" He added later: ""After lengthy consultations with the national office, it was resolved that the by-election be held as soon as possible."" Kuppet's Kisii Executive Secretary Omari Otungu addresses journalists during the chaotic Annual General Meeting on May 11, 2018. /ANGWENYI GICHANA Chairman candidate Laban Ouko alleged that there was a plot to rig the elections. ""There was a plan to subvert the will of the people by stuffing ballot papers but when it was discovered, we raised the issue. We are ready to wait for an election that is free, fair and credible."" Ouko's opponent Thomas Ombwori claimed that his camp panicked. ""I was poised to win the seat. However, I'm confident that the will of teachers will prevail even if we hold the election next year,"" said Ombwori. Other seats that were up for grabs were that of assistant executive secretary and secretary for tertiary. The seats fell vacant after the former holders joined the Kisii county government.",https://www.the-star.co.ke/news/2018-05-11-kuppets-kisii-elections-abort-after-marked-ballot-papers-found/
90,True,True,1.0,BBC,26 May 2018 - 09:00,,Irish abortion referendum: Exit polls suggest landslide for repeal,,"Exit polls published after Ireland's referendum on abortion suggest a large vote in favour of liberalising the law. Polls by The Irish Times and RTÉ suggest about 69% voted to repeal a part of the constitution that effectively bans terminations. Taoiseach (prime minister) Leo Varadkar, who supported the reforms, said it looked as if the country was about to ""make history"". Official counting of votes will begin at 09:00 local time. Those taking part in Friday's referendum were asked whether they wanted to repeal or retain a part of the constitution known as the Eighth Amendment, which says an unborn child has the same right to life as a pregnant woman Broadcaster RTÉ's exit poll suggested 69.4% in favour of the Yes side and 30.6% for No. In Dublin, 79% of people voted for repeal, according to the RTÉ poll. An exit poll released by The Irish Times points to 68% Yes to 32% for No. It's looking like we will make history tomorrow... """,https://www.the-star.co.ke/news/2018-05-26-irish-abortion-referendum-exit-polls-suggest-landslide-for-repeal/
91,True,True,3.0,BBC,27 May 2018 - 12:00,,Irish abortion referendum: New laws by end of the year - Irish PM,,"A new abortion law will be in place by the end of the year, Irish Prime Minister Leo Varadkar has said. It follows a landslide vote in favour of repealing the Republic of Ireland's constitutional ban on abortion. The proposed legislation will allow abortions during the first 12 weeks of pregnancy, and up to the 24th week in exceptional circumstances. Irish Minister for Health Simon Harris will seek the cabinet's backing on Tuesday to draft the new legislation. Seismic shift for Ireland Timeline: Ireland and abortion The result south of the border has shifted focus to Northern Ireland's similarly strict abortion laws, with UK Prime Minister Theresa May facing calls to act. Northern Ireland will soon become the only part of the UK and Ireland with an almost blanket ban on terminations. But Mrs May is in a difficult situation because her administration depends on the support of 10 Democratic Unionist Party MPs - who strongly oppose any reform. On Saturday, Penny Mordaunt - who is responsible for the women and equalities brief in government - said the referendum signalled a ""historic and great day for Ireland"" and a ""hopeful one for Northern Ireland"". Nicky Morgan and three other former holders of the women and equalities role - Amber Rudd, Justine Greening and Maria Miller - all back Ms Mordaunt's support for liberalising the laws in Northern Ireland, the Sunday Times reported. Liberal Democrat leader Sir Vince Cable has said Mrs May should take advantage of the current lack of a devolved administration and push for reform from Westminster. ""The position in Northern Ireland is now highly anomalous and I think, probably, action will now have to be taken,"" he said. At Dublin Castle on Saturday, Sinn Féin leader Mary Lou McDonald and her deputy Michelle O'Neill held up a sign saying ""The north is next"".",https://www.the-star.co.ke/news/2018-05-27-irish-abortion-referendum-new-laws-by-end-of-the-year-irish-pm/
92,True,False,0.0,By Andrew Kasuku,30 May 2018 - 18:00,,Condor plane replaced after bird strike in Mombasa,,"Passengers of the ill-fated Condor plane that failed to take off on Tuesday after a bird strike got a relieve after the airline provided an alternative plane to Zanzibar. A Condor Boeing 767-300, registration D-ABUM performing flight DE-2282 from Mombasa to Zanzibar with 230 passengers and 10 crew failed to take off at Moi International Airport after the left engine ingested a crow, an aggressive bird popular in Mombasa city on Tuesday at 08.09 hours. Condor is a German airline named after a species of vultures, the largest land flying birds. Read: Addressing the press at his offices, Airport manager Walter Agong said the plane was on the runway ready to take off when the pilot realized a mishap in the engine. The plane pulled from the runway to the parking area where it is being inspected by technicians for damages. Condor head of communications Johannes Winter said that a replacement aircraft flying from Frankfurt to Mombasa was immediately provided to bring the passengers to Frankfurt via Zanzibar. “On the runway, a bird was ingested in the left engine before take-off. The captain applied the brakes according to procedures and brought the aircraft to a complete stop,” Winter said through an email. “The passengers and the crew are in good health,” he added. The airline reintroduced charter flights in the Germany- Mombasa-Zanzibar route in June 2016 after pulling out in 2014 over insecurity concerns.",https://www.the-star.co.ke/news/2018-05-30-condor-plane-replaced-after-bird-strike-in-mombasa/
93,True,True,1.0,Mutua Kameti,06 June 2018 - 18:00,,Makueni cops hunt for 21 suspects in pupil defilement case,,"Police in Makueni county are searching for a primary school teacher who allegedly defiled a class six pupil. He is among 21 people said to have sexually assaulted the 15-year-old on different dates since 2017. Police said one forced the girl into an abortion that left her near dead. It is said the teacher lured the learner into his house, defiled her and then gave her Sh50. On Wednesday, Kilungu Deputy County commissioner Daniel Dege said the teacher of Kyamuoso Primary School was at large and is among three key suspects. The victim attends a different school and is yet to report for the second term. ""Some of the suspects fled but we will find take them to court,"" he told parents at the girl's school. The mother of the girl appealed for action against all the suspects. “All I want is justice. I feel bad when I see my daughter out of school while someone is walking free after committing such an inhumane act ,"" she told the Star during an interview at her home on Wednesday. Metho Kilonzo, the Ilima Zone education officer, said the teacher had been accused of committing similar crimes in the past and was demoted as a result. He accused police of ""dragging their feet"" in investigations.",https://www.the-star.co.ke/news/2018-06-06-makueni-cops-hunt-for-21-suspects-in-pupil-defilement-case/
94,True,True,1.0,RHODA ODHIAMBO @OdhiamboRhoda,13 June 2018 - 15:00,,Death toll from Rift Valley Fever rises to six,,"The death toll from case of Rift Valley Fever in Wajir has risen to six after one more person died while receiving treatment. At least 10 cases have been confirmed within the area. The first case was reported on June 4 after two relatives were referred to a local hospital with high fever and bleeding from the mouth. One of the patients died the same day of their admission, as situation that has seen the government create a task force in order to reduce new incidences and prevent more deaths. The team comprises of members from both the national and county government. Obadiah Njagi, director of veterinary services, warned locals against handling meat that has not been inspected. ""To aid in early detection and response, in the event of an outbreak, all reports of sudden deaths and abortions of livestock should be reported to the nearest veterinary office or any other office,"" Njagi said in a statement on Wednesday. He added: ""It is highly advised that all persons who experience fever of unknown origin should also report to the nearest health facility immediately."" Read: Rift Valley Fever is a viral disease that primarily affects animals but also has the capacity to infect humans. The disease results in significant economic losses due to death and abortion among RVF-infected livestock, especially among camels and goats. Some of the symptoms associated with the fever are high fever, bleeding gums, body weakness among others. On June 13, the government banned the consumption of meat that had not been inspected. Locals objected to the ban on grounds that they depend on their livestock to feed their family. According to WHO, the current outbreak has ecological and subregional geographical connotations. Livestock population movements are high in the subregion, including cattle raiding activity between Uganda-Kenya-South Sudan. ""The ongoing heavy rains and flooding in Kenya and other countries in East Africa) have also resulted in increased vector density. These factors could contribute to further spread of the disease in the sub region.""",https://www.the-star.co.ke/news/2018-06-13-death-toll-from-rift-valley-fever-rises-to-six/
95,True,True,6.0,THOMSON REUTERS FOUNDATION @TR_Foundation,13 July 2018 - 09:00,,High Court to decide on safe abortions after teenager's death,,"The High Court is to decide if the government is responsible for the death of a teenager from a botched backstreet abortion, campaigners said on Thursday. The case could see safer abortions for thousands of women in the nation. The girl - known by her initials JMM to protect her identity - was raped in 2014 at the age of 15. On discovering she was pregnant, she had a backstreet abortion that left her with injuries which eventually led to her death last month. More on this: Read: JMM's mother, together with the Federation of Women Lawyers, filed a petition in 2015 claiming authorities failed to provide her daughter with proper post-abortion care, and called on the government to implement measures for access to safe abortions. After a three-day hearing, which saw testimonies from ministry of health officials, Christian groups and women's rights organisations, the case has been adjourned until September 18 with a verdict expected by the end of the year. ""My daughter's horrific suffering and tragic death was entirely preventable. I watched her go through more pain than you can imagine, she did not have to die like this,"" JMM's mother said in a statement. ""If our country had any respect for her life and her rights, she would be here today. But how many more girls and women are going to suffer before something is done? Before they receive justice? Kenya has to make abortion safe and accessible."" The 2010 constitution broadened access to abortion, permitting it in cases when a woman's life is at risk and in cases of an emergency. But campaigners say authorities - influenced by powerful Christian organisations - have instead made it harder for women to get safer access to abortions. Since 2010, the Ministry of Health has withdrawn essential guidelines on conducting safe abortions and banned health workers from training on abortion. The guidelines, amongst other things, provided clarity on who could perform abortions, safe-guarding against illegal practitioners. The ban on training has meant fewer health professionals available to perform the procedure or after care. Evelyne Opondo, Africa director of the Center for Reproductive Rights, which is representing the petitioners in the court case, said JMM's post-abortion care was a direct consequence of Kenya's crackdown on safe abortion services. Following her abortion, JMM developed an infection and was transferred between four hospitals as staff did not know how to treat her. She suffered kidney failure and was bedridden for months before her death on June 10. ""While JMM was entitled to quality post abortion care irrespective of whether it was within the law or otherwise, she did not receive it from the point of first contact with the health system,"" said Opondo. ""Instead there were several delays and missed opportunities to mitigate the adverse effect of the unsafe abortion on her health and life."" The petitioners are seeking compensation from the government for JMM's family, as well as the reinstatement of the abortion guidelines and the scrapping of the ban on training. Other details: Also see:",https://www.the-star.co.ke/news/2018-07-13-high-court-to-decide-on-safe-abortions-after-teenagers-death/
96,True,False,0.0,FELIX OLICK @olickfelix,20 August 2018 - 06:00,,Ruaraka land saga: Nairobi agreed to pay firm Sh23bn,,"The Evans Kidero government nearly paid a businessman at the centre of the Ruaraka land saga Sh23 billion, as it emerges that City Hall acknowledged the property was not public, as now claimed. Internal memos from City Hall’s legal department seen by the Star indicate county government lawyers under Kidero’s administration held that Francis Mburu owns the land and should be compensated. One of the memos from Erick Odhiambo, City Hall’s legal affairs assistant director, states the county illegally allocated several plots to individuals who developed the multibillion-shilling property. The memo is addressed to Odhiambo’s boss, the legal affairs director. Read: The lawyer suggested that City Hall compensates Mburu’s firms — Afrison Export Import Ltd and Huelands Ltd — which are registered as the owners of the 58.6 acres of land. Other than Drive In Primary School and Ruaraka High School which occupy 13 acres of the disputed land, Odhiambo said in the memo there are several buildings whose legal status cannot be confirmed. He added that Barclays Bank and Rafiki Enterprises have developments on the larger 58.6 acres. “From the records available, there was a subdivision carried out in 1985 on the said parcel but was never finalised; thus the individual registration of the resultant subplots was never carried out. This would appear to be the reason why we still have the LR No.7879/4 still in the records.” “.. City Council of Nairobi did not have any business allocating the said land to individuals... It has been in local dailies that the government has compensated the said owner to the extent of the parcel in occupation by the GSU. Imperatively, it will be best for the county to do equally the same,” Odhiambo says in the memo. Details: This appears to be the same position taken by Interior CS Fred Matiangi’s ex-legal advisor Martin Oloo, insisting land records clearly indicate the parcel is private. “The registrar of titles confirms that Ruaraka land L.R No. 7879/4 measuring 96 acres is private freehold land in the name of Afrison Import Export and Huelands Ltd as joint owners,” Oloo said, noting the position has been affirmed in three different court cases. Oloo accused the Senate of ignoring a court order which ruled the land belonged to the claimant and should be paid Sh4 billion as compensation. This follows a Senate report that wants Matiang’i and PS Belio Kipsang held responsible for approving Sh1.5 billion payments for the land. “Who carries more weight in establishing land ownership; a Ministerial Quality Assurance Committee or a constitutional body that is the National Land Commission?” he said. Mburu said he reached an out-of-court deal with City Hall, which had agreed to pay him Sh23 billion for the land. The deal, he claims, was to see City Hall pay him over five years which would mean annual installments of Sh4.6 billion. Government paid Mburu Sh2.4 billion between 2012 and 2017 following a court battle. The amount was negotiated down from the court-ordered Sh4.2 billion. But the payment was for the 37.4 acres occupied by the GSU. The memo has contradicted Governor Mike Sonko’s insistence that City Hall’s records indicate that the land is public. Sonko and his officers — Lands executive Charles Kerich and Urban Planning chief officer Julius Kathenge — told Parliament last month that City Hall’s records show Mburu does not own the land. The internal correspondence has further deepened the mystery, as Parliament probes whether Mburu owns the land, or was paid by government several times for the same property. In 2011, another internal memo from City Hall’s chief valuer identified as KJ Ayiecho to the assistant legal director also states Mburu owns the land, after purchasing it from Joreth Ltd. In the same year, the land was the subject of Parliament proceedings, when Cherangany MP Joshua Kuttuny questioned why government used public funds to pay land rates for private property. But former Internal Security assistant minister Orwa Ojode said the Sh20 million payment was made to stop City Hall from auctioning the land to recover due rates which Mburu was unable to pay. Ojode added that government was then unable to compulsorily acquire the land because there were ongoing court battles over it. The former assistant minister, who died a year later, held that government intended to acquire an additional 20 acres to put up housing for police officers. Mburu says he bought 96 acres in 1981, and was to put up housing units for Kenya Posts and Telecommunications Corporation staff. But the deal aborted after Continental Credit Finance, which had given Mburu a loan to carry out the project, went under. KPTC also dropped its interest in the project following financial troubles. The DCI and EACC could arraign up to 25 people over the Ruaraka land, arguing the payment Mburu received was a scheme by officials in City Hall, NLC, and Lands and Education ministries to swindle money. More:",https://www.the-star.co.ke/news/2018-08-20-ruaraka-land-saga-nairobi-agreed-to-pay-firm-sh23bn/
97,True,False,0.0,NANCY AGUTU @nancyagutu,22 August 2018 - 09:00,,Hyped motorists strike flops as traffic flows freely in Nairobi,,"The planned motorists strike that was to start today morning has flopped. The aborted strike was organised by Kenya Motorists Association to protest the proposed 16 per cent Value Added Tax on petroleum products from September 1. The association's chairman Peter Murima had asked motorists sympathetic to their course to dump their vehicles on the road between 7.30am and 9.30am. A spot check by the Star indicated that the strike did not happen as planned. But speaking to the Star on phone, Murima said the strike took place adding that it will take place every Wednesday for two hours. ""The strike started as planned and has taken off very well. In fact, it started at Roysambu estate where all the actions were carried out,"" he said. Murima said some motorists who were in solidarity with the members kept off the roads and that is why there was no traffic around Nairobi. ""We will do this every Wednesday until the government can change this dynamic. We will even go to court if they don't want to change this,"" he said. Earlier, Matatu owners association chairman Simon Kimutai told Citizen TV that the responsibility of PSV's is to carry passengers, not to go on a go slow. Kimutai said the planned strike flopped for lack of consultation from stakeholders. ""What is important is to sit and discuss with those who have done it before. Asking people to leave or park their vehicles on the road whilst inconveniencing other motorists is not the solution,"" he said. The MOA chairman said the fuel hikes will affect every consumer and not only the public service sector. If implemented, the new prices will see an increase of about Sh15 to Sh17 per litre of fuel. Read: ""I sympathize with the situation. It's not our liking ... we cannot absorb this cost. We will not be in the business. We can make 70 per cent losses if that happens,"" Kimutai said. Kimutai noted that they will be fair to the consumers adding that the fares will only be added by about Sh10. ""W e will calculate and absorb the impact caused by the fuel. If you were paying Sh30 bob It will go up by Sh10 bob. The long days of matatus misbehaving are history,"" he said. When asked if matatu owners can think of other ways to bear the cost, Kimutai said its not an easy thing to do. "" However creative you could be, at the end of the day cash is involved- we do not get any subsidies from any position,"" he said. "" It would have been great for the government to explore other avenues that can increase revenue to the government or collection of taxes."" Kimutai said people have the misconception that there is a lot of money in the matatu industry adding that ""It is a very expensive venture to get into,"" ""It is very risky and has minimal profits... We have had fare hikes for a long time and we do it in a good way,"" he said. SECURITY Police had been mobilized and ordered to disperse any motorist who tries to block roads in the planned protest by motorists over proposed fuel tax. Police warned that they will not allow such a protest and urged those planning to do so to desist from the move.",https://www.the-star.co.ke/news/2018-08-22-hyped-motorists-strike-flops-as-traffic-flows-freely-in-nairobi/
98,True,True,0.0,DAILY MAIL,26 August 2018 - 12:00,,'My pain and shame': Pope apologises for Catholic church sex abuse,,"Pope Francis has met victims of abuse and mistreatment in Ireland, telling them that those who abuse children were the equivalent of human excrement. He spent 90 minutes speaking with eight Irish survivors of clerical, religious and institutional abuse during the first papal visit to Ireland since 1979. The Pontiff told of the two abuse survivors that 'those involved in corruption and cover up within the church are 'caca"", with his translator clarifying: 'Literally filth as one sees in the toilet'. Pope Francis spoke with the group before attending a Festival of Families celebration yesterday at Croke Park Stadium in Dublin, where he received a standing ovation after telling the 82,500-strong crowd that 'to hate is human, to forgive is divine'. He was greeted by enthusiastic nuns hoisting papal flags and performing Mexican waves at the event, where he stressed the importance of family, and warned people of the 'threat' social media poses to relationships. He said social media should 'never become a threat to the real life relationships by imprisoning us in a virtual reality and isolating us from the very real relationships that challenge us to grow. 'When you use social media too much you go into a sort of an orbit when, at the dinner table, instead of talking to each other within the family, each of you uses his phone to connect with the outside world. 'You go into an orbit. This is dangerous. Why? Because it takes away the completeness of the family and... takes us to a fuzzy life without any substance.' The evening included a performance of Riverdance by 500 children from dance schools around Ireland, and entertainment from local and international artists – joined by an orchestra of more than 50 musicians – including Andrea Bocelli. The two-hour-long festival was choreographed as a celebration of family life, featuring music, song, dance, and spoken word. The pope arrived at Croke Park for the mammoth festival flanked by burly bodyguards, after spending 90 minutes speaking with eight Irish survivors of abuse. The private meeting was hosted at the Papal Nuncio's residence in Dublin, hours after he acknowledged that Irish people had a right to be outraged by the church's response to the crimes. The enthusiastic crowd's standing ovation rounded off the pope's first day in Ireland, which has seen him speak of his 'pain and shame' at the 'grave scandal' of clerical sex abuse amid protests over the Catholic Church scandal – as thousands of admirers crowded the streets of Dublin to wave and watch him go by in his custom-made Popemobile. The pontiff said victims had a right to be outraged at the 'repellent crimes' against young people, while Ireland's prime minister Leo Varadkar urged him to 'listen to the victims', saying the history of abuse had left a legacy of 'sorrow and shame'. The Vatican says Pope Francis has met with eight survivors of clerical and institutional abuse on the first day of his trip to Ireland, which is ground zero for the Catholic Church's abuse scandal. Vatican spokesman Greg Burke said Francis met with the group for about 90 minutes this evening. Among the victims was Marie Collins, a prominent survivor who served on Francis' advisory board but quit in frustration last year. She has since become a harsh critic of the Vatican, and occasionally the pope. The 81-year-old landed in Dublin this morning on an Alitalia flight from Rome – flying with the call sign 'Shepherd One' – to begin the first visit by a Pope to Ireland since John Paul II visited in 1979. He greeted a country where Catholic loyalties are declining and which recently distanced itself further from the Vatican's teaching with a referendum vote to legalise abortion, three years after similar backing for same-sex marriage. This afternoon he met Ireland's first gay prime minister. Tens of thousands gathered in Dublin as he passed through in his Popemobile, a Skoda Rapid model, waving and smiling to the crowds on Dame Street. But demonstrators also assembled around the city to protest against clerical crimes, amid a row over the Vatican's response to similar claims of institutional abuse in America. Speaking at St Patrick's Hall in Dublin Castle, the Pope said: 'With regard to the most vulnerable, I cannot fail to acknowledge the grave scandal caused in Ireland by the abuse of young people by members of the church charged with responsibility for their protection and education,' he said. 'The failure of ecclesiastical authorities - bishops, religious superiors, priests and others - adequately to address these repellent crimes has rightly given rise to outrage and remains a source of pain and shame for the Catholic community. I myself share those sentiments.' 'It is my hope that the gravity of the abuse scandals, which have cast light on the failings of many, will serve to emphasise the importance of the protection of minors and vulnerable adults on the part of society as a whole,' he said. He also praised his predecessor, Benedict XVI, for tackling the issue, saying: 'His frank and decisive intervention continues to serve as an incentive for the efforts of the church's leadership both to remedy past mistakes and to adopt stringent norms meant to ensure that they do not happen again.'",https://www.the-star.co.ke/news/2018-08-26-my-pain-and-shame-pope-apologises-for-catholic-church-sex-abuse/
99,True,False,0.0,ROBERT OMOLLO @RobertOmollo3,06 September 2018 - 06:00,,Sharon's family speaks as Obado denies part in her murder,,"The family of slain university student Sharon Otieno has demanded swift justice for her killers after police arrested the personal assistant to Migori governor Okoth Obado. The family accused Governor Obado and his personal assistant, Michael Oyamo, of masterminding Sharon’s murder after she refused to abort a pregnancy. But Obado’s communications director Nicholas Anyuor dismissed the claim, saying the family could not prove it. The body of the 26-year old second-year Rongo University student was found at Kodera forest in Kasipul constituency on Tuesday evening. Read: She had been abducted in Rongo town, Migori, on Monday night alongside Nation journalist Barack Oduor who escaped by jumping from the speeding car. Her body was ripped with multiple cuts and could barely be identified. Family members and villagers who had thronged their home on Wednesday morning charged Obado with complicity in the killing. Sharon’s father, Douglas Zacharia Otieno, and mother Melida Auma claimed Migori governor Okoth Obado and his personal assistant, Michael Oyamo, were responsible. Melida, a teacher at Rabango Primary School in Rangwe, narrated the love relationship, which the governor had with her first-born daughter. She said the governor wanted her to abort her pregnancy but they advised her against it since it was in its seventh month. ""She told us about her pregnancy and the person behind it. I told her not to abort because it could result in many complications,"" Melida said. According to Melida, her refusal to abort led to disagreement between Sharon and Obado. Melida said she realised that her daughter’s life was in danger after she began changing mobile phones to avoid being tracked by her friends who had turned enemies. ""I asked her why she frequently changed mobile lines and she told me she was being threatened because she had refused to abort the pregnancy,” she added. Read: But Anyuor defended Obado against the accusations. He said Auma spoke out of anger and was responding to ""pressure from some quarters"". He said the governor was “very shocked when he learnt about this incident in the media.” ""They can’t prove the pregnancy belonged to the governor,"" he said. He said there was no way the county chief could be linked to the murder and dismissed the claims as a political scheme to malign Obado. ""If Oyamo participated in the abduction, why associate it with the governor?"" he asked. But Melida linked Obado and his personal assistant Oyamo because of the conversations they had with her daughter about him. Melida said she had followed conversation between the governor and her daughter over county government tender awards and alluded to several meetings between her daughter, the governor and Oyamo. She recalled a meeting in which Sharon left home early morning about two weeks ago to meet the “governor’s people” in Nairobi. Sharon flew to Nairobi from Kisumu airport and returned home the same day. ""Sharon told me she was boarding a plane to Nairobi and the journey was sponsored by the governor. I later realised that she received money for the trip through Oyamo,"" Melida said. On Monday evening when Sharon was abducted in Rongo town, she called her and told her she was going to Rongo to meet Oyamo briefly and return later. ""She told me the objective of the journey was to discuss how the county government would award her a tender,"" Melida said, adding that she was surprised Sharon had decided to leave home late. ""Sharon had never demonstrated a habit of staying outside home beyond 7pm,"" she said. This prompted her to call again at 8pm only to find her phone was off. ""I was worried,"" Melida said. Sharon’s father, Otieno, said, ""I went to Rachuonyo hospital mortuary and identified my daughter after being called by police. We are calling for justice in this matter."" Sharon was pregnant with her second baby. She joined university last year but was forced to defer her studies to this year due to lack of school fees. More:",https://www.the-star.co.ke/news/2018-09-06-sharons-family-speaks-as-obado-denies-part-in-her-murder/
